task,model,dataset,condition,n_speakers,count,mean_si_sdr_in,mean_si_sdr_out,mean_delta_si_sdr,mean_sdr,mean_sir,mean_sar,mean_pesq,selection_accuracy,mean_oracle_delta_si_sdr
target_extraction,AttentionTSE,mixed,-5.0,2,149,-8.889,0.000,8.889,,,,,,
target_extraction,AttentionTSE,mixed,-5.0,3,149,-10.692,0.000,10.692,,,,,,
target_extraction,AttentionTSE,mixed,-5.0,4,142,-12.084,0.000,12.084,,,,,,
target_extraction,AttentionTSE,mixed,0.0,2,162,-4.845,-0.020,4.826,,,,,,
target_extraction,AttentionTSE,mixed,0.0,3,135,-7.211,-0.073,7.138,,,,,,
target_extraction,AttentionTSE,mixed,0.0,4,156,-8.563,-0.037,8.526,,,,,,
target_extraction,AttentionTSE,mixed,5.0,2,138,-2.181,-0.016,2.165,,,,,,
target_extraction,AttentionTSE,mixed,5.0,3,162,-4.608,0.000,4.608,,,,,,
target_extraction,AttentionTSE,mixed,5.0,4,153,-6.450,0.000,6.450,,,,,,
target_extraction,AttentionTSE,mixed,clean,2,151,-0.265,-0.042,0.223,,,,,,
target_extraction,AttentionTSE,mixed,clean,3,142,-3.353,0.000,3.353,,,,,,
target_extraction,AttentionTSE,mixed,clean,4,153,-5.196,0.000,5.196,,,,,,
target_extraction,SpEx+,mixed,-5.0,2,149,-8.889,-6.790,2.099,,,,,,
target_extraction,SpEx+,mixed,-5.0,3,149,-10.692,-8.758,1.933,,,,,,
target_extraction,SpEx+,mixed,-5.0,4,142,-12.084,-10.619,1.465,,,,,,
target_extraction,SpEx+,mixed,0.0,2,162,-4.845,-3.706,1.139,,,,,,
target_extraction,SpEx+,mixed,0.0,3,135,-7.211,-6.247,0.964,,,,,,
target_extraction,SpEx+,mixed,0.0,4,156,-8.563,-7.651,0.912,,,,,,
target_extraction,SpEx+,mixed,5.0,2,138,-2.181,-1.857,0.324,,,,,,
target_extraction,SpEx+,mixed,5.0,3,162,-4.608,-4.195,0.413,,,,,,
target_extraction,SpEx+,mixed,5.0,4,153,-6.450,-6.024,0.426,,,,,,
target_extraction,SpEx+,mixed,clean,2,151,-0.265,-0.149,0.116,,,,,,
target_extraction,SpEx+,mixed,clean,3,142,-3.353,-3.284,0.069,,,,,,
target_extraction,SpEx+,mixed,clean,4,153,-5.196,-5.084,0.112,,,,,,
target_extraction,WeSep-BSRNN(预训练),mixed,-5.0,2,149,-8.889,-1.842,7.047,,,,,,
target_extraction,WeSep-BSRNN(预训练),mixed,-5.0,3,149,-10.692,-6.428,4.264,,,,,,
